network_zone_id;network_zone_name;status;created_at;updated_at;4g_rsrp;4g_rsrq;4g_snr;5g_rsrp;5g_rsrq;5g_snr
bfc22f66-f787-481f-9bbd-f349e6b136b7;Semi-urban;true;2026-03-18 18:55:24.632175+00;2026-03-27 06:35:32.249267+00;	-110;	-12;3;	-105;	-10;5
85959c79-9c2c-409e-bda6-03693e0af29b;Urban;true;2026-03-18 18:55:16.49943+00;2026-03-27 06:35:58.587244+00;	-105;	-10;5;	-105;	-10;5
4629d4c8-1443-4344-8e56-b3a3832875ca;Metro;true;2026-03-18 18:55:08.411585+00;2026-03-27 06:36:22.112828+00;	-100;	-9;7;	-100;	-9;7
ebdd53b0-23ee-435a-8192-4646867f62f1;Rural;true;2026-03-18 18:55:32.859569+00;2026-03-28 07:07:13.929677+00;	-115;	-15;3;	-105;	-10;5
